x,y,punkte
0.8784,0.4767,0.2
-1.0797,-1.2147,0
-0.5973,0.5201,0.4
-0.5989,0.9258,0
0.3278,1.0633,0
1.0092,-0.4028,0
-1.0406,0.3308,0
-0.6765,-0.0515,0.4
-0.5753,-0.6237,0.5
0.5732,0.0495,0.2
-0.0309,0.2390,0.3
-1.0164,0.7330,0
0.4916,1.0884,0
-0.9969,-1.1471,0
-1.2138,-0.4146,0
-0.6756,-0.7022,0.5
1.2750,0.2111,0
0.8840,-0.4118,0.1
0.3878,-1.2166,0
0.6102,0.7764,0.2
-0.3227,-0.7685,0.5
0.7423,0.0132,0.2
-0.9409,-1.0855,0
0.7086,-0.1778,0.2
0.9630,0.7595,0
-0.0168,1.1741,0
-0.8439,-0.9217,0
0.1355,0.4540,0.3
-0.7629,0.7024,0
-0.6726,-0.9490,0
0.4157,0.2672,0.2
0.1441,-0.7661,0.1
1.0973,0.0566,0
0.6373,-1.1704,0
1.1896,0.2089,0
-0.5617,-1.1776,0
-0.4517,0.5511,0.4
0.6786,-0.6473,0.1
0.9432,-0.1149,0.2
-0.8251,0.3709,0.4
0.0195,-0.8102,0.1
0.9165,-1.0726,0
-0.9455,1.2870,0
-0.7497,-0.0739,0.4
0.0226,0.3110,0.3
-0.0402,0.4531,0.3
-0.8883,1.2455,0
0.8560,-0.3996,0.1
-0.7673,0.0471,0.4
0.6817,-0.1405,0.2
-0.0385,-0.6443,0.5
-0.0017,-1.2095,0
0.9404,-0.3546,0
-0.1923,-0.6460,0.5
0.0103,-1.1934,0
0.4312,-1.1316,0
1.0430,0.6843,0
0.4106,0.8062,0.3
-1.1602,0.2254,0
0.1272,-0.0477,0.1
0.0324,-0.0640,1
-0.1286,0.2007,0.3
-1.2576,0.5415,0
-1.2904,0.4969,0
-0.8236,-0.3406,0.5
0.5870,1.1209,0
-0.5746,0.3071,0.4
1.0468,-0.0985,0
-1.1814,0.1753,0
-0.0132,-0.1508,0.5
-0.0823,0.6599,0.3
-0.9845,0.5586,0
0.2472,1.1585,0
0.8661,-0.0538,0.2
-1.2785,1.0673,0
-1.1382,0.0418,0
-0.0343,0.4729,0.3
0.1434,0.2863,0.3
0.9150,0.4272,0
1.2590,1.2466,0
1.2145,0.8103,0
1.1893,0.8093,0
-0.8858,-1.0680,0
1.2817,-1.2096,0
-0.0230,0.9731,0.3
0.4659,0.7178,0.3
-0.4482,0.8855,0.3
-0.1202,1.1001,0
0.4049,-0.6486,0.1
-0.8940,-0.3264,0.5
0.5840,-1.1690,0
-0.9411,-0.6776,0
0.3143,-0.3269,0.1
0.3521,1.2336,0
-0.2352,0.7606,0.3
0.6226,-1.2583,0
0.4787,0.9757,0
-0.6386,0.2403,0.4
1.0386,-0.0860,0
-0.3085,0.8891,0.3
0.3411,-0.4807,0.1
-0.0920,0.0763,0.4
1.2892,-0.8510,0
0.2458,-1.1061,0
0.3747,0.7682,0.3
-0.1722,0.2505,0.3
0.8705,-0.2810,0.2
0.2310,-0.8605,0.1
1.2390,-0.8287,0
0.4665,0.5414,0.2
0.1736,0.1211,0.2
0.3386,1.0298,0
0.7061,-1.2996,0
-1.1430,-1.0515,0
1.0649,-1.2998,0
-1.2099,0.0623,0
-1.1506,0.6373,0
0.3485,-1.2957,0
-0.2451,0.8476,0.3
-0.4012,-0.7845,0.5
0.6308,0.3969,0.2
-1.1702,0.3280,0
0.2330,0.9127,0.3
0.2081,-0.2207,0.1
0.2292,-0.2308,0.1
0.2350,-0.7940,0.1
-0.9486,0.5390,0
0.6048,-0.5670,0.1
1.1006,1.1526,0
-0.1793,0.2505,0.3
-0.4206,0.4321,0.4
1.2450,1.0171,0
0.5023,-0.4073,0.1
1.0640,0.0220,0
1.0855,-0.6934,0
-0.9080,-0.4683,0
1.2549,0.0150,0
1.2375,-1.2448,0
0.3947,0.2691,0.2
1.2707,-0.6484,0
1.2043,-0.7179,0
1.1589,-0.5037,0
0.0324,-0.2864,0.1
-0.7361,-0.5518,0.5
1.1551,0.3303,0
-0.4787,0.0274,0.4
-0.3522,-0.1405,0.5
-0.8418,0.1828,0.4
1.0395,0.4137,0
0.1054,1.0102,0
0.2270,0.9209,0.3
-0.1462,0.3403,0.3
-0.1174,0.2290,0.3
0.4168,0.3267,0.2
-0.2372,-0.8500,0.5
-1.2859,0.5462,0
-0.3065,-0.4509,0.5
-1.2507,-0.9747,0
0.3875,-0.5691,0.1
-1.1882,-0.1053,0
0.5193,-0.9449,0
0.5418,-0.7405,0.1
-0.5752,0.3137,0.4
-0.4155,-0.3901,0.5
0.3014,-0.0837,0.2
0.8214,-1.0808,0
-0.7815,-0.4011,0.5
1.0002,0.9321,0
1.1774,-0.0890,0
-0.8470,0.4195,0.4
0.2914,0.6553,0.3
1.1449,-0.2463,0
-0.3222,-0.8778,0.5
1.0446,0.1906,0
-0.8480,-1.2096,0
0.9294,-1.0530,0
0.0897,0.0591,0.2
0.2551,1.2379,0
0.0673,0.4552,0.3
0.0634,1.0421,0
0.9991,-1.0713,0
-0.7144,1.0923,0
-0.2912,0.5285,0.3
0.0941,-0.1543,0.1
-0.4563,-0.3332,0.5
-0.4263,0.3768,0.4
0.9661,0.9913,0
-0.6804,0.2334,0.4
-0.0195,0.0434,1
0.5950,0.1863,0.2
-0.2375,1.2924,0
-0.7236,-0.1846,0.4
-1.1900,-0.8981,0
-1.1742,-0.9849,0
-0.4187,0.6909,0.3
0.0702,-0.1263,0.1
-0.3144,1.2923,0
0.5875,-0.1596,0.2
-0.3938,0.6484,0.3
-0.5420,0.2190,0.4
-0.6137,-1.0068,0
0.8955,-0.3176,0.1
-0.9933,1.1656,0
-1.1864,0.6561,0
0.1953,-1.1298,0
0.3110,0.9777,0
-0.8067,0.8911,0
-0.7292,1.2273,0
-0.1273,-0.2146,0.5
-1.2455,-0.2734,0
-1.1635,-0.3047,0
-0.0470,-0.2585,0.5
-1.2574,1.2020,0
0.6907,-0.7027,0.1
-0.9764,-0.8060,0
0.4918,0.7614,0.3
1.2372,0.9153,0
1.0071,-0.6606,0
0.5367,0.0235,0.2
0.8392,-0.7508,0
-1.2957,0.8880,0
1.0610,1.1231,0
-0.7110,-0.9478,0
-1.2720,1.1803,0
0.4461,0.3458,0.2
-1.0639,0.3507,0
0.4889,0.7635,0.3
-1.2617,0.9033,0
-0.7115,0.0664,0.4
-0.3397,-1.0978,0
-0.5867,1.0404,0
1.2789,0.1476,0
-0.7656,-1.2125,0
0.8072,-1.1971,0
1.1080,-0.4235,0
1.1764,1.1688,0
0.6980,-0.9168,0
-0.3632,-0.5660,0.5
-1.1208,0.3586,0
0.1140,0.2607,0.3
0.4109,0.2356,0.2
-1.1337,0.9945,0
0.4800,0.3223,0.2
-0.2146,0.8012,0.3
-0.7166,-0.1941,0.4
-1.0331,1.1406,0
-0.7823,-0.6996,0
0.2769,0.2830,0.2
0.1522,-0.1908,0.1
-0.2462,-0.3846,0.5
-0.1845,0.5832,0.3
-1.0905,0.3184,0
0.3889,0.3861,0.2
0.9829,0.9221,0
-0.0375,0.7232,0.3
-0.9182,-0.1067,0.4
0.3982,-0.2592,0.1
-0.7939,1.2452,0
1.0974,-0.1754,0
1.1023,1.0549,0
-1.0483,-0.0089,0
0.9504,-0.5957,0
-0.0178,0.7757,0.3
-0.4059,0.5818,0.3
-0.3762,1.1889,0
-1.1392,1.1668,0
0.6261,-0.1042,0.2
-0.5284,-0.6037,0.5
-0.3428,-0.5985,0.5
-0.7614,-1.2230,0
0.5439,-0.8959,0
-0.6310,-1.2005,0
0.7735,-1.0672,0
0.6067,0.1288,0.2
-0.1222,-0.4282,0.5
0.3712,0.2373,0.2
-0.5180,0.7328,0.3
0.9688,0.6232,0
0.4318,-0.0482,0.2
-0.3444,0.2557,0.4
1.2530,-0.5233,0
-0.2313,-0.2310,0.5
-0.5407,0.4668,0.4
-0.3787,-0.8068,0.5
0.3758,0.7560,0.3
0.1573,1.2701,0
0.9627,1.0551,0
0.2465,0.0219,0.2
-0.2897,0.9232,0.3
-0.6447,-1.1427,0
0.2756,-1.2512,0
-0.9628,0.5900,0
-0.8624,-0.6809,0
-0.8509,-0.3040,0.5
1.2193,-0.0484,0
0.5637,0.9313,0
0.8076,-0.6086,0
0.8441,-0.3509,0.1
-0.6352,-1.1476,0
0.5794,0.6563,0.2
1.0164,-0.0277,0
-0.6434,0.3024,0.4
0.3526,-0.5852,0.1
1.0207,0.7710,0
0.3309,0.3280,0.2
0.0323,1.0734,0
-0.2409,1.1913,0
0.8298,-1.0762,0
0.9772,0.5685,0
0.8713,-0.6687,0
-0.9915,0.8816,0
-0.2804,0.1733,0.4
0.9514,-0.2351,0.2
-0.3463,0.0903,0.4
-1.1845,-0.5517,0
1.2127,1.1973,0
0.1761,0.0816,0.2
-0.7894,-1.0764,0
0.9819,-0.5560,0
-0.5520,1.2906,0
0.4197,-0.6578,0.1
-0.5082,-0.7605,0.5
-0.7143,1.0282,0
1.2695,0.3705,0
-0.2950,0.6601,0.3
-0.8446,0.2001,0.4
-0.1019,0.2416,0.3
-0.3807,-0.0282,0.4
-0.0631,-0.0264,1
0.4159,-0.7355,0.1
0.4779,0.8072,0.3
0.3069,-0.9451,0.1
-0.4405,-0.8471,0.5
0.9713,-1.0408,0
0.0809,0.6655,0.3
-0.5760,-1.2240,0
-0.0027,-1.1180,0
0.7590,-0.0617,0.2
-0.6873,0.3113,0.4
0.1568,0.0679,0.2
0.8819,1.2453,0
-0.8563,-1.2942,0
0.8471,0.7490,0
0.0608,-1.0898,0
-0.5924,-0.6829,0.5
0.7971,-0.0971,0.2
-0.9589,-0.5563,0
0.3202,0.5985,0.3
0.6067,1.2066,0
-0.0165,0.9316,0.3
1.0709,0.5292,0
0.9215,-0.3561,0.1
-0.7925,-1.1448,0
0.0169,0.3177,0.3
-0.5779,1.2189,0
1.2187,0.5800,0
1.2422,-0.6691,0
0.7683,-1.1177,0
-0.5199,0.0419,0.4
0.3509,1.2994,0
0.6778,0.6456,0.2
0.8111,1.2843,0
0.7892,0.9338,0
0.2622,1.0527,0
-0.3259,0.1474,0.4
-1.1912,-0.3423,0
-0.7797,0.6220,0.4
-0.7544,0.4593,0.4
-0.7247,0.7254,0
-0.5264,-1.2460,0
-0.9194,-0.8068,0
1.1527,1.2209,0
-0.4074,-0.4414,0.5
1.0353,0.6345,0
-0.7135,-0.4368,0.5
-0.8577,0.2104,0.4
1.0360,0.5251,0
0.7857,0.8779,0
0.5081,0.5698,0.2
-0.6625,-0.6244,0.5
-0.2290,-0.7099,0.5
1.1954,-0.8900,0
0.1623,0.8374,0.3
-0.4237,1.0599,0
1.1620,0.5594,0
-0.8218,-0.7847,0
0.0209,1.0067,0
-0.2594,0.8614,0.3
-1.1343,-1.1958,0
0.3020,-0.2956,0.1
-0.9613,0.3371,0
0.9718,-0.7795,0
-1.1012,-1.2107,0
-0.7954,-0.6684,0
1.1401,1.0387,0
-0.2692,-0.0071,0.4
-0.4344,0.0146,0.4
-0.7051,-0.6170,0.5
0.4897,-0.0712,0.2
-0.0499,1.2327,0
0.0918,-1.1362,0
1.0266,0.0279,0
0.3945,-0.9963,0
-0.9213,0.1295,0.4
1.2386,-0.4517,0
-0.6944,-0.7302,0
-0.0497,-0.2510,0.5
-0.4166,0.0602,0.4
-0.1357,-1.1173,0
-0.0123,0.6317,0.3
-0.9535,-1.2377,0
-0.5666,-0.7137,0.5
-0.1718,1.0933,0
0.9825,0.3380,0
-0.2169,0.3482,0.3
-0.7305,1.0843,0
-0.7833,0.5119,0.4
0.8444,0.0395,0.2
0.2936,-0.4091,0.1
0.4072,0.1844,0.2
-0.6408,-0.0250,0.4
-0.7099,-0.3346,0.5
-0.1026,-0.9478,0.5
-0.0111,-0.4232,0.5
-0.6787,-0.3513,0.5
-0.4682,-0.6686,0.5
0.7310,-1.1875,0
-0.1774,0.8427,0.3
0.4212,-0.1104,0.2
-1.0707,0.1632,0
-0.9713,-0.8172,0
0.8491,-0.7191,0
0.1589,-0.2431,0.1
0.6997,0.1863,0.2
-0.0151,0.8440,0.3
0.3170,-0.2882,0.1
-0.6805,0.4881,0.4
1.1143,1.1279,0
0.7003,0.7829,0
0.3685,-0.8136,0.1
-0.8212,-0.9826,0
1.0707,0.5571,0
-0.0421,0.1246,0.3
-0.5458,0.2737,0.4
0.9717,-0.4819,0
-0.2181,1.2863,0
0.9765,0.6075,0
-1.2676,0.0712,0
1.0894,-0.6915,0
-1.0227,-1.1588,0
-0.1922,-0.5702,0.5
0.8724,0.9264,0
0.2718,-1.1540,0
1.1284,-0.4241,0
0.2845,-0.4378,0.1
-0.0453,0.7679,0.3
0.6023,0.9081,0
-0.4779,-0.8310,0.5
-1.0339,-0.0182,0
-0.7416,0.7172,0
0.1391,0.2654,0.3
1.1134,0.3472,0
0.6222,-0.5552,0.1
-0.8872,-1.1595,0
-1.2464,0.7087,0
-1.1358,-1.1850,0
-1.0991,-0.5521,0
-0.0257,-0.1270,0.5
-1.0477,0.6219,0
1.2035,-0.0528,0
-0.0733,-0.3226,0.5
-1.0780,1.2712,0
0.1961,-1.0812,0
-0.8816,-1.0931,0
-1.2098,-0.8051,0
0.5938,0.5633,0.2
-0.3041,-0.7538,0.5
-0.2464,0.6621,0.3
-0.9968,-0.8715,0
-0.1467,1.1592,0
-0.2484,-1.1256,0
-1.0359,1.2141,0
0.2153,1.2983,0
-0.0979,-0.2060,0.5
-0.2245,-1.0338,0
0.7719,0.4422,0.2
-0.8328,1.0782,0
1.1406,0.2799,0
-0.1842,-0.5784,0.5
0.5179,-0.7465,0.1
-0.8184,0.4259,0.4
1.1102,-0.3120,0
1.1428,-0.8364,0
1.0546,-0.3608,0
-0.2629,-0.2643,0.5
-0.3568,0.0269,0.4
1.2322,0.6864,0
-0.1224,-1.1864,0
-0.9068,-1.0553,0
0.7806,0.0357,0.2
-1.2236,0.6862,0
0.6417,0.6214,0.2
-0.0795,0.3973,0.3
0.6004,0.9908,0
-0.8502,0.7748,0
-0.1806,0.0307,0.4
1.2184,0.7379,0
0.1637,-0.8067,0.1
-0.1270,-0.8901,0.5
0.9977,1.1866,0
0.1777,1.1821,0
-0.5932,-0.8476,0
0.5787,0.1563,0.2
-1.0422,-0.8899,0
0.0993,-0.9202,0.1
1.2876,1.2017,0
0.0879,-0.5135,0.1
-0.0889,-0.1247,0.5
-0.6483,-0.5699,0.5
-0.5320,-1.0224,0
1.2714,-0.9478,0
-0.0764,-1.1127,0
-0.8636,1.1091,0
-0.1861,0.0959,0.4
0.7517,-0.3100,0.1
-0.0245,-0.6366,0.5
-0.6942,0.2590,0.4
-0.0649,0.2125,0.3
0.3028,-0.1615,0.1
0.0689,-0.8799,0.1
-0.0733,0.7088,0.3
-0.4973,-0.2416,0.5
0.3449,0.7940,0.3
0.8890,-0.3911,0.1
-0.1198,0.1794,0.3
-0.9054,-0.2347,0.4
0.4674,0.0944,0.2
0.8644,-0.2520,0.2
0.3466,0.8004,0.3
-0.2388,0.4968,0.3
-0.0490,0.4550,0.3
0.8224,0.5634,0.2
0.4144,0.4415,0.2
0.1406,0.4096,0.3
0.4771,-0.1012,0.2
-0.2189,0.4598,0.3
0.2182,0.8243,0.3
-0.9318,-0.1562,0.4
0.5650,0.6146,0.2
-0.9431,-0.0457,0.4
0.1036,-0.3774,0.1
0.7219,0.3633,0.2
0.2482,0.1539,0.2
-0.3433,-0.9361,0.5
-0.0052,-0.6096,0.5
-0.1608,0.3792,0.3
0.1734,-0.2963,0.1
-0.1895,0.5345,0.3
-0.8070,0.2123,0.4
0.3977,0.4340,0.2
-0.6315,-0.4727,0.5
-0.2003,-0.8192,0.5
-0.0637,0.1337,0.3
-0.2450,-0.6469,0.5
0.2151,-0.2144,0.1
0.1075,-0.7698,0.1
-0.7484,-0.1879,0.4
0.3664,0.8996,0.3
-0.0103,-0.0811,1
0.3352,-0.0262,0.2
-0.9231,-0.0837,0.4
0.0443,-0.0337,1
0.2683,0.8860,0.3
0.2534,-0.0988,0.1
0.3634,0.5310,0.3
-0.6313,0.5159,0.4
0.2387,0.5294,0.3
0.7641,-0.5780,0.1
0.1363,-0.1266,0.1
-0.1823,0.5626,0.3
0.7996,-0.3431,0.1
0.6248,-0.3335,0.1
0.2160,-0.3590,0.1
-0.1552,-0.9763,0.5
0.1832,-0.4493,0.1
-0.9430,-0.0287,0.4
-0.1974,0.7195,0.3
0.1590,-0.2647,0.1
0.9652,0.1808,0.2
-0.6435,-0.5665,0.5
-0.3112,-0.6466,0.5
-0.1995,-0.3157,0.5
-0.3899,-0.4575,0.5
0.3255,0.2527,0.2
-0.2797,0.0827,0.4
-0.2213,0.3066,0.3
0.6668,0.6044,0.2
0.7866,0.1405,0.2
0.2988,-0.1469,0.1
0.0462,-0.2042,0.1
-0.0025,0.4901,0.3
-0.4763,-0.1644,0.5
0.7390,-0.0582,0.2
-0.3167,-0.7550,0.5
-0.4510,-0.4245,0.5
0.6067,0.3178,0.2
0.7533,-0.2511,0.1
0.3953,0.1257,0.2
0.3304,-0.9001,0.1
0.4529,0.1661,0.2
-0.3641,-0.6473,0.5
0.1586,-0.6794,0.1
0.1287,-0.2270,0.1
0.4316,0.4994,0.2
0.9699,-0.0520,0.2
-0.1668,-0.8088,0.5
-0.6937,0.3862,0.4
-0.0320,0.1591,0.3
0.0460,0.8997,0.3
-0.1235,-0.8152,0.5
0.4149,0.7015,0.3
-0.9449,-0.0205,0.4
0.0532,-0.9011,0.1
0.3402,-0.3575,0.1
0.7450,0.1561,0.2
-0.2855,-0.3353,0.5
-0.1129,0.9417,0.3
-0.3192,0.6747,0.3
0.7170,0.3367,0.2
-0.5153,-0.1120,0.4
0.2175,0.2225,0.2
0.2137,-0.3799,0.1
0.1885,0.3506,0.3
-0.8119,0.2970,0.4
0.5297,0.1965,0.2
-0.4013,-0.6641,0.5
0.5436,0.6531,0.2
0.2771,-0.7329,0.1
0.0957,-0.3528,0.1
-0.1879,0.1062,0.4
-0.4879,-0.3567,0.5
0.5174,0.2242,0.2
-0.5882,0.3710,0.4
-0.8383,0.1458,0.4
-0.7960,-0.5937,0.5
-0.8611,-0.2280,0.4
-0.6694,-0.6924,0.5
0.2865,-0.2619,0.1
0.9249,0.2197,0.2
0.5952,-0.2121,0.1
-0.6342,-0.1903,0.4
-0.1093,0.6645,0.3
-0.3880,0.6008,0.3
-0.1508,0.9363,0.3
0.1942,-0.4757,0.1
0.2799,0.6780,0.3
-0.3851,0.7523,0.3
-0.6066,-0.5534,0.5
-0.8308,0.4827,0.4
-0.3033,0.3425,0.4
-0.0016,-0.5645,0.5
-0.8913,0.0460,0.4
-0.0288,0.9364,0.3
-0.1875,-0.0931,0.5
-0.9360,-0.1593,0.4
0.3503,-0.7358,0.1
-0.2899,-0.7539,0.5
-0.5180,0.4369,0.4
0.3388,-0.3922,0.1
-0.2639,0.2126,0.4
0.8112,0.2614,0.2
-0.4179,-0.7605,0.5
-0.6368,0.0137,0.4
-0.2726,0.2018,0.4
0.5229,-0.2262,0.1
-0.0770,0.9935,0.3
0.8737,0.2318,0.2
-0.1413,-0.9344,0.5
0.7979,0.0906,0.2
0.4354,0.8801,0.3
0.1170,0.2149,0.3
0.4407,-0.0953,0.2
-0.0011,0.9242,0.3
0.2183,0.0222,0.2
-0.0635,-0.9937,0.5
0.8756,-0.3332,0.1
0.4124,-0.4599,0.1
-0.4657,-0.8576,0.5
0.0901,-0.4191,0.1
-0.2458,-0.0893,0.5
-0.2559,0.6983,0.3
-0.0572,0.7373,0.3
0.3097,0.5617,0.3
0.3836,-0.7704,0.1
-0.3431,-0.7430,0.5
-0.5117,-0.5137,0.5
-0.7011,-0.2524,0.5
0.0823,0.2978,0.3
-0.1437,0.3213,0.3
0.0413,0.4171,0.3
0.2647,-0.1934,0.1
-0.3188,-0.5438,0.5
-0.8174,0.1606,0.4
0.6356,-0.6672,0.1
0.3147,-0.1225,0.1
0.5535,-0.7998,0.1
-0.4406,0.0319,0.4
-0.5760,0.0311,0.4
-0.8150,-0.0495,0.4
-0.2587,-0.4588,0.5
-0.5899,0.1979,0.4
0.3445,0.1311,0.2
-0.4071,0.1603,0.4
0.3390,-0.0557,0.2
0.0309,0.5719,0.3
0.7245,0.2336,0.2
0.4926,0.6516,0.2
-0.0069,0.3612,0.3
-0.4817,-0.6997,0.5
-0.6116,0.7762,0.4
-0.5992,0.0181,0.4
0.1618,-0.3299,0.1
0.3812,0.2904,0.2
-0.0932,0.3443,0.3
-0.0495,-0.0224,1
0.0138,0.0835,1
-0.0239,0.0410,1
0.0439,-0.0277,1
0.0251,0.0552,1
0.0121,0.0408,1
-0.0274,0.0824,1
0.0430,0.0897,1
0.0333,-0.0574,1
-0.0557,-0.0609,1
0.0531,-0.0383,1
-0.0107,-0.0138,1
-0.0284,-0.0728,1
0.0819,-0.0562,1
0.0146,0.0940,1
-0.0523,0.0840,1
0.0068,0.0524,1
0.0284,-0.0035,1
0.0457,0.0518,1
-0.0788,0.0261,1
0.0234,-0.0385,1
0.0315,0.0713,1
0.0655,-0.0628,1
-0.0645,-0.0254,1
0.0367,0.0546,1
-0.0381,0.0108,1
-0.0238,-0.0169,1
0.0742,0.0106,1
-0.0332,0.0757,1
0.0320,-0.0150,1
0.0032,0.0369,1
-0.0039,0.0357,1
0.0865,0.0160,1
0.0734,-0.0329,1
-0.0889,-0.0404,1
-0.0336,-0.0320,1
-0.0462,-0.0153,1
0.0003,0.0110,1
-0.0007,-0.0634,1
0.0936,0.0289,1
0.0489,0.0623,1
-0.0187,-0.0253,1
-0.0303,-0.0106,1
-0.0021,-0.0071,1
-0.0675,0.0073,1
0.0968,-0.0156,1
-0.0814,-0.0307,1
0.0315,-0.0300,1
-0.0711,0.0545,1
-0.0783,-0.0261,1
-0.0060,0.0561,1
0.0694,-0.0046,1
-0.0985,0.0105,1
-0.0078,-0.0729,1
0.0061,0.0040,1
0.0101,0.0128,1
-0.0924,-0.0147,1
-0.0709,0.0626,1
0.0072,-0.0472,1
-0.0108,0.0044,1
0.0198,-0.0502,1
0.0684,0.0093,1
-0.0784,0.0131,1
0.0340,0.0384,1
-0.0889,-0.0150,1
0.0831,-0.0047,1
0.0281,-0.0523,1
-0.0002,-0.0093,1
0.0226,-0.0122,1
0.0312,0.0449,1
-0.0822,-0.0295,1
0.0427,-0.0378,1
-0.0799,-0.0541,1
-0.0877,-0.0099,1
-0.0617,-0.0501,1
-0.0405,0.0078,1
0.0495,0.0264,1
0.0807,-0.0169,1
0.0007,0.0046,1
0.0561,0.0671,1
0.0434,-0.0861,1
0.0006,0.0617,1
-0.0709,0.0692,1
0.0966,0.0221,1
0.0230,0.0528,1
0.0757,0.0195,1
-0.0883,-0.0322,1
-0.0375,0.0609,1
-0.0779,-0.0198,1
-0.0317,-0.0880,1
-0.0788,0.0113,1
0.0569,0.0277,1
-0.0151,-0.0679,1
0.0729,-0.0126,1
